# startTime, endTime, gapSecs, gapHours, gapDays
2022-05-26T14:09:22Z, 2022-05-26T14:33:10Z, 1428, 0.396593, 0.0165247
2022-05-27T07:41:39Z, 2022-05-27T08:04:55Z, 1396, 0.387657, 0.0161524
2022-05-29T00:57:16Z, 2022-05-29T02:48:25Z, 6669, 1.8525, 0.0771875
2022-05-30T05:00:48Z, 2022-05-30T06:07:11Z, 3984, 1.10663, 0.0461095
2022-06-01T01:57:10Z, 2022-06-01T03:57:55Z, 7245, 2.01258, 0.0838577
2022-06-03T01:57:10Z, 2022-06-03T04:03:07Z, 7558, 2.09939, 0.0874744
2022-06-05T01:33:12Z, 2022-06-05T02:24:12Z, 3060, 0.850009, 0.0354171
2022-06-05T03:45:09Z, 2022-06-05T13:37:57Z, 35568, 9.88011, 0.411671
2022-06-06T22:57:16Z, 2022-06-06T23:18:32Z, 1276, 0.354344, 0.0147644
2022-06-10T04:59:36Z, 2022-06-10T08:06:12Z, 11196, 3.11005, 0.129585
2022-06-10T08:47:26Z, 2022-06-10T10:06:36Z, 4750, 1.31937, 0.0549737
2022-06-12T02:12:48Z, 2022-06-12T04:00:16Z, 6448, 1.79117, 0.074632
2022-06-12T13:00:47Z, 2022-06-13T05:54:48Z, 60841, 16.9003, 0.70418
2022-06-14T02:47:25Z, 2022-06-14T03:54:54Z, 4049, 1.12474, 0.0468643
2022-06-17T01:23:40Z, 2022-06-17T03:12:23Z, 6523, 1.81188, 0.075495
2022-06-17T06:47:41Z, 2022-06-17T07:24:16Z, 2195, 0.609623, 0.025401
2022-06-17T08:59:46Z, 2022-06-18T05:07:51Z, 72485, 20.1348, 0.838949
2022-06-19T01:59:40Z, 2022-06-19T03:57:25Z, 7065, 1.96238, 0.0817657
2022-06-19T22:47:40Z, 2022-06-19T23:59:25Z, 4305, 1.19597, 0.0498319
2022-06-20T01:23:40Z, 2022-06-20T09:11:00Z, 28040, 7.78882, 0.324534
2022-06-21T01:48:49Z, 2022-06-21T04:18:53Z, 9004, 2.50103, 0.10421
2022-06-23T01:35:41Z, 2022-06-23T04:39:33Z, 11031, 3.0643, 0.127679
2022-06-23T22:47:42Z, 2022-06-23T23:11:29Z, 1427, 0.396403, 0.0165168
2022-06-24T01:35:37Z, 2022-06-24T03:19:21Z, 6223, 1.72868, 0.0720285
2022-06-26T01:59:34Z, 2022-06-26T03:13:11Z, 4416, 1.2268, 0.0511168
2022-06-27T09:23:31Z, 2022-06-27T10:12:22Z, 2931, 0.814073, 0.0339197
2022-06-28T01:57:16Z, 2022-06-28T03:13:18Z, 4562, 1.26719, 0.0527997
2022-07-02T01:23:37Z, 2022-07-02T01:53:37Z, 1801, 0.500226, 0.0208428
2022-07-04T01:23:41Z, 2022-07-04T03:04:04Z, 6023, 1.67305, 0.0697104
2022-07-05T02:10:13Z, 2022-07-05T02:47:11Z, 2218, 0.61605, 0.0256688
2022-07-08T03:09:17Z, 2022-07-08T04:36:50Z, 5253, 1.45917, 0.0607987
2022-07-09T02:57:16Z, 2022-07-09T03:39:53Z, 2556, 0.710129, 0.0295887
2022-07-10T02:21:16Z, 2022-07-10T03:45:50Z, 5073, 1.40923, 0.0587181
2022-07-11T21:57:16Z, 2022-07-11T22:52:23Z, 3307, 0.918488, 0.0382703
2022-07-12T03:00:48Z, 2022-07-12T04:00:06Z, 3558, 0.988423, 0.0411843
2022-07-13T09:45:16Z, 2022-07-13T10:56:58Z, 4301, 1.19483, 0.0497846
2022-07-16T01:33:10Z, 2022-07-16T03:33:26Z, 7217, 2.00464, 0.0835265
2022-07-18T01:21:12Z, 2022-07-18T02:23:00Z, 3709, 1.03016, 0.0429231
2022-07-20T02:21:16Z, 2022-07-20T02:44:13Z, 1377, 0.382377, 0.0159324
2022-07-21T06:00:48Z, 2022-07-21T06:21:04Z, 1216, 0.337802, 0.0140751
2022-07-23T02:57:16Z, 2022-07-23T04:23:15Z, 5159, 1.43294, 0.0597058
2022-07-24T22:21:16Z, 2022-07-24T22:56:23Z, 2107, 0.585236, 0.0243848
2022-07-25T01:57:16Z, 2022-07-25T03:25:36Z, 5300, 1.47219, 0.0613412
2022-07-30T13:35:35Z, 2022-07-30T14:52:52Z, 4636, 1.28787, 0.0536613
2022-08-02T07:47:40Z, 2022-08-02T09:22:48Z, 5708, 1.58544, 0.0660601
2022-08-02T23:59:40Z, 2022-08-03T02:15:36Z, 8156, 2.26545, 0.0943938
2022-08-06T02:12:48Z, 2022-08-06T02:38:38Z, 1551, 0.430746, 0.0179477
2022-08-08T22:33:16Z, 2022-08-08T22:57:00Z, 1423, 0.39537, 0.0164738
2022-08-09T01:33:16Z, 2022-08-09T01:59:16Z, 1560, 0.433337, 0.0180557
2022-08-10T01:35:40Z, 2022-08-10T02:56:17Z, 4837, 1.34366, 0.0559856
2022-08-10T09:35:25Z, 2022-08-10T10:04:10Z, 1725, 0.47915, 0.0199646
