# startTime, endTime, gapSecs, gapHours, gapDays
2022-06-28T01:59:39Z, 2022-06-28T03:14:08Z, 4470, 1.24165, 0.0517355
2022-06-28T08:18:52Z, 2022-06-28T08:38:57Z, 1205, 0.334714, 0.0139464
2022-07-02T01:21:12Z, 2022-07-02T01:54:11Z, 1979, 0.54977, 0.0229071
2022-07-04T01:18:52Z, 2022-07-04T03:04:53Z, 6362, 1.7671, 0.073629
2022-07-05T02:11:50Z, 2022-07-05T02:48:59Z, 2229, 0.619224, 0.025801
2022-07-08T03:11:39Z, 2022-07-08T04:37:39Z, 5161, 1.43359, 0.0597328
2022-07-09T02:59:38Z, 2022-07-09T03:40:42Z, 2464, 0.684469, 0.0285196
2022-07-10T02:23:38Z, 2022-07-10T03:46:23Z, 4965, 1.37914, 0.0574643
2022-07-11T21:59:39Z, 2022-07-11T22:53:13Z, 3214, 0.892843, 0.0372018
2022-07-12T02:59:38Z, 2022-07-12T04:00:56Z, 3677, 1.02144, 0.0425602
2022-07-13T09:47:39Z, 2022-07-13T10:57:48Z, 4209, 1.16908, 0.0487117
2022-07-16T01:35:32Z, 2022-07-16T03:34:16Z, 7125, 1.97903, 0.0824598
2022-07-18T01:23:34Z, 2022-07-18T02:24:57Z, 3683, 1.02316, 0.0426315
2022-07-20T02:23:39Z, 2022-07-20T02:45:03Z, 1284, 0.356707, 0.0148628
2022-07-20T05:42:52Z, 2022-07-20T06:04:55Z, 1323, 0.367629, 0.0153179
2022-07-21T05:59:36Z, 2022-07-21T06:21:54Z, 1337, 0.371483, 0.0154785
2022-07-22T08:54:52Z, 2022-07-22T09:30:35Z, 2143, 0.595189, 0.0247996
2022-07-23T02:59:39Z, 2022-07-23T04:24:59Z, 5120, 1.4223, 0.0592624
2022-07-24T22:23:39Z, 2022-07-24T22:57:13Z, 2014, 0.559544, 0.0233144
2022-07-25T01:59:39Z, 2022-07-25T03:26:26Z, 5207, 1.44647, 0.0602694
2022-07-26T23:30:52Z, 2022-07-27T00:09:59Z, 2347, 0.651844, 0.0271602
2022-07-30T13:30:55Z, 2022-07-30T14:53:41Z, 4966, 1.37934, 0.0574725
2022-07-31T11:42:52Z, 2022-07-31T12:25:36Z, 2564, 0.71229, 0.0296788
2022-08-02T07:42:52Z, 2022-08-02T09:24:50Z, 6119, 1.69961, 0.0708171
2022-08-02T23:54:52Z, 2022-08-03T02:16:26Z, 8494, 2.35944, 0.0983099
2022-08-06T02:11:39Z, 2022-08-06T02:39:29Z, 1670, 0.463912, 0.0193297
2022-08-08T08:30:52Z, 2022-08-08T08:54:58Z, 1447, 0.401859, 0.0167441
2022-08-08T22:30:52Z, 2022-08-08T23:01:40Z, 1849, 0.513563, 0.0213985
2022-08-09T01:35:39Z, 2022-08-09T02:00:59Z, 1520, 0.42221, 0.0175921
2022-08-09T03:18:52Z, 2022-08-09T03:53:10Z, 2059, 0.571886, 0.0238286
2022-08-10T01:30:52Z, 2022-08-10T02:57:07Z, 5176, 1.43766, 0.0599027
2022-08-10T09:30:51Z, 2022-08-10T10:05:00Z, 2048, 0.568988, 0.0237078
